Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Patrick Kane,20152016,CHI,L,R,82,46,60,106,17,30,1.29,29,69,17,37,0,0,1,9,287,16,20:25,21.6
Jamie Benn,20152016,DAL,L,L,82,41,48,89,7,64,1.09,22,54,17,30,2,5,1,5,247,16.6,20:01,47.3
Sidney Crosby,20152016,PIT,L,C,80,36,49,85,19,42,1.06,26,61,10,24,0,0,2,9,248,14.5,20:28,51.7
Joe Thornton,20152016,SJS,L,C,82,19,63,82,25,54,1,11,53,8,29,0,0,0,6,121,15.7,18:22,53
Erik Karlsson,20152016,OTT,R,D,82,16,66,82,-2,50,1,15,56,1,26,0,0,2,3,248,6.5,28:58,0
Johnny Gaudreau,20152016,CGY,L,L,79,30,48,78,4,20,0.99,24,57,6,21,0,0,3,6,217,13.8,19:56,40
Blake Wheeler,20152016,WPG,R,R,82,26,52,78,8,49,0.95,21,57,3,17,2,4,2,5,256,10.2,19:47,35.7
Joe Pavelski,20152016,SJS,R,C,82,38,40,78,25,30,0.95,26,50,12,28,0,0,1,11,224,17,19:49,55
Evgeny Kuznetsov,20152016,WSH,L,C,82,20,57,77,27,32,0.94,15,59,5,18,0,0,2,4,193,10.4,17:25,47.8
Artemi Panarin,20152016,CHI,R,L,80,30,47,77,8,32,0.96,22,53,8,24,0,0,1,7,187,16,18:31,--
Brent Burns,20152016,SJS,R,D,82,27,48,75,-5,53,0.91,19,43,7,30,1,2,1,4,353,7.7,25:52,100
Vladimir Tarasenko,20152016,STL,L,R,80,40,34,74,7,37,0.93,28,50,12,24,0,0,2,7,292,13.7,18:38,0
Anze Kopitar,20152016,LAK,L,C,81,25,49,74,34,16,0.91,19,53,5,18,1,3,4,8,177,14.1,20:52,53.5
Tyler Seguin,20152016,DAL,R,C,72,33,40,73,2,16,1.01,26,49,7,24,0,0,1,6,278,11.9,19:27,55.6
Alex Ovechkin,20152016,WSH,R,L,79,50,21,71,21,53,0.9,31,47,19,24,0,0,2,8,398,12.6,20:19,--
John Tavares,20152016,NYI,L,C,78,33,37,70,6,38,0.9,26,51,7,19,0,0,0,5,250,13.2,20:00,54.1
Nicklas Backstrom,20152016,WSH,L,C,75,20,50,70,17,36,0.93,17,40,3,30,0,0,0,4,129,15.5,19:11,48.6
Patrice Bergeron,20152016,BOS,R,C,80,32,36,68,12,49,0.85,19,40,12,25,1,3,0,6,282,11.4,19:50,57.1
