Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20162017,EDM,L,C,82,30,70,100,27,26,1.22,26,71,3,27,1,2,1,6,251,12,21:08,43.2
Sidney Crosby,20162017,PIT,L,C,75,44,45,89,17,24,1.19,30,64,14,25,0,0,1,5,255,17.3,19:53,48.2
Patrick Kane,20162017,CHI,L,R,82,34,55,89,11,32,1.09,27,66,7,23,0,0,1,5,292,11.6,21:24,13.7
Nicklas Backstrom,20162017,WSH,L,C,82,23,63,86,17,38,1.05,15,51,8,35,0,0,2,5,162,14.2,18:16,51.4
Brad Marchand,20162017,BOS,L,L,80,39,46,85,18,81,1.06,27,56,9,24,3,5,1,8,226,17.3,19:26,36.1
Nikita Kucherov,20162017,TBL,L,R,74,40,45,85,13,38,1.15,23,53,17,32,0,0,1,7,246,16.3,19:26,--
Mark Scheifele,20162017,WPG,R,C,79,32,50,82,18,38,1.04,25,65,7,15,0,2,2,5,160,20,20:34,43.5
Leon Draisaitl,20162017,EDM,L,C,82,29,48,77,7,20,0.94,19,50,10,27,0,0,3,5,172,16.9,18:53,49
Brent Burns,20162017,SJS,R,D,82,29,47,76,19,40,0.93,21,50,8,25,0,1,3,6,320,9.1,24:52,--
Vladimir Tarasenko,20162017,STL,L,R,82,39,36,75,-1,12,0.91,30,53,9,22,0,0,3,8,286,13.6,18:28,50
Artemi Panarin,20162017,CHI,R,L,82,31,43,74,18,21,0.9,22,57,9,17,0,0,1,5,211,14.7,19:28,20
Blake Wheeler,20162017,WPG,R,R,82,26,48,74,6,47,0.9,19,50,5,21,2,3,0,4,259,10,20:09,45.7
Ryan Getzlaf,20162017,ANA,R,C,74,15,58,73,7,49,0.99,7,50,6,20,2,3,0,3,138,10.9,21:04,50.3
Tyler Seguin,20162017,DAL,R,C,82,26,46,72,-15,22,0.88,15,43,11,29,0,0,1,4,301,8.6,18:28,51
Evgeni Malkin,20162017,PIT,L,C,62,33,39,72,18,77,1.16,22,49,11,23,0,0,1,6,191,17.3,18:37,43.1
Victor Hedman,20162017,TBL,L,D,79,16,56,72,3,47,0.91,12,39,4,33,0,0,2,5,166,9.6,24:31,--
Erik Karlsson,20162017,OTT,R,D,77,17,54,71,10,28,0.92,13,42,4,27,0,2,1,5,218,7.8,26:50,--
David Pastrnak,20162017,BOS,R,R,75,34,36,70,11,34,0.93,24,46,10,24,0,0,2,6,262,13,17:59,66.7
Phil Kessel,20162017,PIT,R,R,82,23,47,70,3,20,0.85,15,40,8,30,0,0,1,4,229,10,17:56,33.3
Auston Matthews,20162017,TOR,L,C,82,40,29,69,2,14,0.84,32,48,8,21,0,0,1,8,279,14.3,17:38,46.8
Jamie Benn,20162017,DAL,L,L,77,26,43,69,-9,66,0.9,13,42,12,26,1,1,2,4,201,12.9,19:22,51.5
Alex Ovechkin,20162017,WSH,R,L,82,33,36,69,6,50,0.84,16,43,17,26,0,0,2,7,313,10.5,18:22,0
Mikael Granlund,20162017,MIN,L,C,81,26,43,69,23,12,0.85,16,45,7,20,3,4,1,4,177,14.7,18:49,48.5
Joe Pavelski,20162017,SJS,R,C,81,29,39,68,11,34,0.84,21,45,7,22,1,1,0,7,233,12.5,19:07,52.5
Henrik Zetterberg,20162017,DET,L,C,82,17,51,68,15,22,0.83,15,55,2,13,0,0,0,0,195,8.7,19:43,51.8
Max Pacioretty,20162017,MTL,L,L,81,35,32,67,15,38,0.83,26,52,8,13,1,2,2,7,268,13.1,19:11,54
John Tavares,20162017,NYI,L,C,77,28,38,66,4,38,0.86,20,46,7,18,1,2,1,3,260,10.8,20:25,50.6
Jeff Carter,20162017,LAK,R,C,82,32,34,66,2,41,0.8,21,43,10,22,1,1,4,9,250,12.8,18:02,51.9
Eric Staal,20162017,MIN,L,C,82,28,37,65,17,34,0.79,23,47,4,16,1,2,0,8,211,13.3,18:36,49.2
Nikolaj Ehlers,20162017,WPG,L,L,82,25,39,64,1,38,0.78,20,52,5,12,0,0,0,4,204,12.3,17:29,0
Patrik Laine,20162017,WPG,R,L,73,36,28,64,7,26,0.88,27,50,9,14,0,0,1,5,204,17.7,17:55,0
Jeff Skinner,20162017,CAR,L,L,79,37,26,63,-3,28,0.8,30,48,7,15,0,0,0,4,281,13.2,17:44,37
Cam Atkinson,20162017,CBJ,R,R,82,35,27,62,13,22,0.76,22,38,10,21,3,3,3,9,240,14.6,18:05,66.7
James van Riemsdyk,20162017,TOR,L,L,82,29,33,62,-2,37,0.76,23,43,6,19,0,0,0,5,238,12.2,15:53,20
Mitchell Marner,20162017,TOR,R,R,77,19,42,61,0,38,0.79,15,40,4,21,0,0,0,5,176,10.8,16:49,37.8
William Nylander,20162017,TOR,R,R,81,22,39,61,-3,32,0.75,13,35,9,26,0,0,0,2,205,10.7,16:01,40.2
