#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Palat, Ondrej","RW, LW",22,ELC,RFA,"$575,000",81,165,23,36,59,18:02,"$3,484","$25,000","$15,972","$9,745",$393
2,"Johansen, Ryan","C, RW",21,ELC,RFA,"$870,000",82,237,33,30,63,17:38,"$3,670","$26,363","$29,000","$13,809",$601
3,"Landeskog, Gabriel","LW, C",21,ELC,RFA,"$925,000",81,222,26,39,65,18:40,"$4,166","$35,576","$23,717","$14,230",$611
4,"Bonino, Nick",C,25,Stnd,RFA,"$700,000",77,159,22,27,49,16:13,"$4,402","$31,818","$25,925","$14,285",$560
5,"MacKinnon, Nathan","C, RW",18,ELC,RFA,"$925,000",82,241,24,39,63,17:20,"$3,838","$38,541","$23,717","$14,682",$650
6,"Shaw, Andrew","C, RW",22,ELC,RFA,"$573,333",80,149,20,19,39,15:41,"$3,847","$28,666","$30,175","$14,700",$456
7,"Schwartz, Jaden",LW,21,ELC,RFA,"$830,000",80,188,25,31,56,17:31,"$4,414","$33,200","$26,774","$14,821",$592
8,"Johnson, Tyler","RW, C",23,ELC,RFA,"$756,667",82,181,24,26,50,18:47,"$4,180","$31,527","$29,102","$15,133",$491
9,"Tatar, Tomas","LW, RW",23,ELC,RFA,"$630,000",73,158,19,20,39,14:21,"$3,987","$33,157","$31,500","$16,153",$601
10,"Saad, Brandon","RW, LW",21,ELC,RFA,"$764,167",78,159,19,28,47,16:17,"$4,806","$40,219","$27,291","$16,258",$601
11,"Eakin, Cody",C,22,ELC,RFA,"$571,667",81,161,16,19,35,17:19,"$3,550","$35,729","$30,087","$16,333",$407
12,"Nugent-Hopkins, Ryan","C, LW",20,ELC,RFA,"$925,000",80,178,19,37,56,20:23,"$5,196","$48,684","$25,000","$16,517",$567
13,"Gallagher, Brendan",RW,21,ELC,RFA,"$685,000",81,211,19,22,41,15:57,"$3,246","$36,052","$31,136","$16,707",$530
14,"Smith, Reilly","RW, LW",22,ELC,RFA,"$900,000",82,146,20,31,51,14:42,"$6,164","$45,000","$29,032","$17,647",$746
15,"Gerbe, Nathan","LW, RW",26,Stnd,RFA,"$550,000",81,221,16,15,31,16:24,"$2,488","$34,375","$36,666","$17,741",$414
16,"Garbutt, Ryan",LW,28,Stnd,UFA,"$575,000",75,165,17,15,32,13:03,"$3,484","$33,823","$38,333","$17,968",$587
17,"Barrie, Tyson",RD,22,ELC,RFA,"$715,000",64,101,13,25,38,18:32,"$7,079","$55,000","$28,600","$18,815",$602
18,"Zuccarello, Mats","LW, RW",26,Stnd,RFA,"$1,150,000",77,170,19,40,59,17:08,"$6,764","$60,526","$28,750","$19,491",$871
19,"Santorelli, Mike","C, RW",28,Stnd,UFA,"$550,000",49,91,10,18,28,18:33,"$6,043","$54,999","$30,555","$19,642",$605
20,"MacDonald, Andrew",RD,27,Stnd,UFA,"$550,000",82,92,4,24,28,24:37:00,"$5,978","$137,500","$22,916","$19,642",$272
21,"Nyquist, Gustav","RW, LW",24,Stnd,RFA,"$950,000",57,153,28,20,48,16:51,"$6,209","$33,928","$47,500","$19,791",$989
22,"Maroon, Patrick","LW, RW",25,Stnd,UFA,"$575,000",62,93,11,18,29,12:18,"$6,182","$52,272","$31,944","$19,827",$753
23,"Wingels, Tommy","RW, LW",25,Stnd,RFA,"$775,000",77,163,16,22,38,16:06,"$4,754","$48,437","$35,227","$20,394",$625
24,"Tarasenko, Vladimir",RW,22,ELC,RFA,"$900,000",64,136,21,22,43,15:10,"$6,617","$42,857","$40,909","$20,930",$927
25,"Söderberg, Carl","C, LW",28,Stnd,UFA,"$1,008,333",73,129,16,32,48,14:15,"$7,816","$63,020","$31,510","$21,006",$969
26,"Roussel, Antoine",LW,24,ELC,RFA,"$612,500",81,113,14,15,29,13:19,"$5,420","$43,750","$40,833","$21,120",$567
27,"Schenn, Brayden","C, LW",22,ELC,RFA,"$870,000",82,178,20,21,41,15:44,"$4,887","$43,500","$41,428","$21,219",$674
28,"Killorn, Alex",LW,24,ELC,RFA,"$875,000",82,173,17,24,41,16:46,"$5,057","$51,470","$36,458","$21,341",$636
29,"Colborne, Joe","C, LW, RW",23,Stnd,RFA,"$600,000",80,80,10,18,28,14:16,"$7,500","$60,000","$33,333","$21,428",$525
30,"Kreider, Chris",LW,22,ELC,RFA,"$800,000",66,136,17,20,37,15:43,"$5,882","$47,058","$40,000","$21,621",$771
31,"Smith, Ben","RW, C",25,Stnd,RFA,"$562,500",75,90,14,12,26,12:44,"$6,250","$40,178","$46,875","$21,634",$589
32,"Granlund, Mikael","C, RW",21,ELC,RFA,"$900,000",63,104,8,33,41,17:19,"$8,653","$112,500","$27,272","$21,951",$824
33,"Raymond, Mason",LW,28,Stnd,UFA,"$1,000,000",82,178,19,26,45,17:20,"$5,617","$52,631","$38,461","$22,222",$703
34,"Read, Matt","RW, LW",27,Stnd,UFA,"$900,000",75,151,22,18,40,18:47,"$5,960","$40,909","$50,000","$22,500",$638
35,"Gelinas, Eric",LD,22,ELC,RFA,"$660,000",60,124,7,22,29,16:55,"$5,322","$94,285","$30,000","$22,758",$650
36,"Krug, Torey",LD,22,ELC,RFA,"$916,667",79,183,14,26,40,17:30,"$5,009","$65,476","$35,256","$22,916",$663
37,"Bjugstad, Nick","C, RW",21,ELC,RFA,"$900,000",76,185,16,22,38,16:13,"$4,864","$56,250","$40,909","$23,684",$730
38,"Couturier, Sean",C,21,ELC,RFA,"$925,000",82,165,13,26,39,19:05,"$5,606","$71,153","$35,576","$23,717",$591
39,"Nash, Riley","C, RW",24,Stnd,RFA,"$575,000",73,86,10,14,24,12:40,"$6,686","$57,500","$41,071","$23,958",$621
40,"Holden, Nick",LD,26,Stnd,UFA,"$600,000",54,66,10,15,25,18:40,"$9,090","$60,000","$40,000","$24,000",$595
41,"Niederreiter, Nino","LW, RW",21,ELC,RFA,"$870,000",81,143,14,22,36,14:05,"$6,083","$62,142","$39,545","$24,166",$762
42,"Perreault, Mathieu","LW, RW",25,Stnd,UFA,"$1,050,000",69,120,18,25,43,13:52,"$8,750","$58,333","$42,000","$24,418","$1,097"
