#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Robertson, Jason",LW,21,DAL,ELC,RFA,"$795,000",51,127,17,28,45,16:53,"$6,259","$46,764","$28,392","$17,666",$923
2,"Kaprizov, Kirill","LW, RW",23,MIN,ELC,RFA,"$925,000",55,157,27,24,51,18:17,"$5,891","$34,259","$38,541","$18,137",$919
3,"Fox, Adam",RD,22,NYR,ELC,RFA,"$925,000",55,102,5,42,47,24:42:00,"$9,068","$185,000","$22,023","$19,680",$680
4,"Garland, Conor","LW, RW",24,ARI,Stnd,RFA,"$775,000",49,135,12,27,39,17:55,"$5,740","$64,583","$28,703","$19,871",$882
5,"Makar, Cale",RD,22,COL,ELC,RFA,"$880,833",44,104,8,36,44,24:18:00,"$8,469","$110,104","$24,467","$20,018",$823
6,"Necas, Martin","RW, C",21,CAR,ELC,RFA,"$863,333",53,114,14,27,41,17:17,"$7,573","$61,666","$31,975","$21,056",$942
7,"Suzuki, Nick","C, RW",21,MTL,ELC,RFA,"$863,333",56,110,15,26,41,18:10,"$7,848","$57,555","$33,205","$21,056",$848
8,"Batherson, Drake","C, RW",22,OTT,ELC,RFA,"$736,666",56,111,17,17,34,16:28,"$6,636","$43,333","$43,333","$21,666",$798
9,"Kyrou, Jordan",RW,22,STL,ELC,RFA,"$758,333",55,98,14,21,35,14:25,"$7,738","$54,166","$36,111","$21,666",$956
10,"Svechnikov, Andrei","LW, RW",20,CAR,ELC,RFA,"$925,000",55,147,15,27,42,17:32,"$6,292","$61,666","$34,259","$22,023",$959
11,"Hughes, Quinn",LD,21,VAN,ELC,RFA,"$916,667",54,96,3,37,40,22:50,"$9,548","$305,555","$24,774","$22,916",$743
12,"Spezza, Jason","C, RW",37,TOR,35+,UFA,"$700,000",54,81,10,20,30,11:01,"$8,641","$70,000","$35,000","$23,333","$1,176"
13,"Farabee, Joel","LW, RW",20,PHI,ELC,RFA,"$925,000",55,122,20,18,38,16:01,"$7,581","$46,250","$51,388","$24,342","$1,050"
14,"Comtois, Maxime","C, LW",21,ANA,ELC,RFA,"$820,000",55,94,16,17,33,15:28,"$8,723","$51,250","$48,235","$24,848",$963
15,"Tkachuk, Brady","LW, C",21,OTT,ELC,RFA,"$925,000",56,220,17,19,36,18:13,"$4,204","$54,411","$48,684","$25,694",$906
16,"Sharangovich, Yegor","C, RW, LW",22,NJD,ELC,RFA,"$775,833",54,114,16,14,30,16:48,"$6,805","$48,489","$55,416","$25,861",$855
17,"Norris, Joshua",C,21,OTT,ELC,RFA,"$925,000",56,96,17,18,35,16:28,"$9,635","$54,411","$51,388","$26,428","$1,003"
18,"Hronek, Filip",RD,23,DET,ELC,RFA,"$714,166",56,114,2,24,26,23:23,"$6,264","$357,083","$29,756","$27,467",$545
19,"Verhaeghe, Carter","C, LW",25,FLA,Stnd,RFA,"$1,000,000",43,107,18,18,36,17:44,"$9,345","$55,555","$55,555","$27,777","$1,311"
20,"Hughes, Jack",C,19,NJD,ELC,RFA,"$925,000",56,142,11,20,31,19:03,"$6,514","$84,090","$46,250","$29,838",$867
21,"Stützle, Tim","C, LW",18,OTT,ELC,RFA,"$925,000",53,111,12,17,29,15:44,"$8,333","$77,083","$54,411","$31,896","$1,109"
22,"Kuokkanen, Janne","C, LW",22,NJD,ELC,RFA,"$811,666",50,61,8,17,25,14:46,"$13,306","$101,458","$47,745","$32,466","$1,099"
