TEAM,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Vancouver,82,51,22,9,111,43,249,198,51,27-10-4,24-12-5,8-7,8-1-2001,W1
NY Rangers,82,51,24,7,109,47,226,187,39,27-12-2,24-12-5,4-5,6-4-2000,L2
St Louis,82,49,22,11,109,45,210,165,45,30-6-5,19-16-6,4-10,4-3-2003,W1
Pittsburgh,82,51,25,6,108,42,282,221,61,29-10-2,22-15-4,9-3,6-4-2000,W3
Nashville,82,48,26,8,104,43,237,210,27,26-10-5,22-16-3,5-5,6-4-2000,W3
Philadelphia,82,47,26,9,103,43,264,232,32,22-13-6,25-13-3,4-7,5-4-2001,L1
Boston,82,49,29,4,102,40,269,202,67,24-14-3,25-15-1,9-3,7-2-2001,W2
Detroit,82,48,28,6,102,39,248,203,45,31-7-3,17-21-3,9-3,4-4-2002,OT1
New Jersey,82,48,28,6,102,36,228,209,19,24-13-4,24-15-2,12-4,7-2-2001,W6
Chicago,82,45,26,11,101,38,248,238,10,27-8-6,18-18-5,7-7,6-1-2003,W1
Phoenix,82,42,27,13,97,36,216,204,12,22-13-6,20-14-7,6-10,7-1-2002,W5
San Jose,82,43,29,10,96,34,228,210,18,26-12-3,17-17-7,9-5,7-3-2000,W4
Los Angeles,82,40,27,15,95,34,194,179,15,22-14-5,18-13-10,6-9,5-2-2003,OT2
Florida,82,38,26,18,94,32,203,227,-24,21-9-11,17-17-7,6-11,2-3-2005,W1
Washington,82,42,32,8,92,38,222,230,-8,26-11-4,16-21-4,4-4,6-2-2002,W2
Ottawa,82,41,31,10,92,35,249,240,9,20-17-4,21-14-6,6-4,4-6-2000,L3
Calgary,82,37,29,16,90,34,202,226,-24,23-12-6,14-17-10,3-9,3-3-2004,W2
Dallas,82,42,35,5,89,35,211,222,-11,22-16-3,20-19-2,7-4,3-7-2000,L5
Buffalo,82,39,32,11,89,32,218,230,-12,21-12-8,18-20-3,7-7,6-3-2001,OT1
Colorado,82,41,35,6,88,32,208,220,-12,22-17-2,19-18-4,9-2,3-5-2002,L2
Tampa Bay,82,38,36,8,84,35,235,281,-46,25-14-2,13-22-6,3-3,6-3-2001,W1
Winnipeg,82,37,35,10,84,33,225,246,-21,23-13-5,14-22-5,4-4,3-5-2002,OT1
Carolina,82,33,33,16,82,32,213,243,-30,20-14-7,13-19-9,1-6,5-4-2001,L1
Minnesota,82,35,36,11,81,24,177,226,-49,20-17-4,15-19-7,11-9,5-4-2001,L1
Anaheim,82,34,36,12,80,31,204,231,-27,21-18-2,13-18-10,3-7,4-5-2001,L1
Toronto,82,35,37,10,80,31,231,264,-33,18-16-7,17-21-3,4-5,3-5-2002,L1
NY Islanders,82,34,37,11,79,27,203,255,-52,17-18-6,17-19-5,7-4,5-5-2000,L1
Montréal,82,31,35,16,78,26,212,226,-14,16-15-10,15-20-6,5-12,3-3-2004,W1
Edmonton,82,32,40,10,74,27,212,239,-27,18-17-6,14-23-4,5-7,4-4-2002,L1
  Columbus,82,29,46,7,65,25,202,262,-60,17-21-3,12-25-2004,4-5,6-4-2000,W2
