National Hockey League,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Chicago,48,36,7,5,77,30,155,102,53,18-3-3,18-4-2,6-5,7-2-2001,L1
Pittsburgh,48,36,12,0,72,33,165,119,46,18-6-0,18-6-0,3-0,8-2-2000,W1
Anaheim,48,30,12,6,66,24,140,118,22,16-7-1,14-5-5,6-3,5-4-2001,L1
Montréal,48,29,14,5,63,26,149,126,23,14-7-3,15-7-2,3-2,4-6-2000,W2
Boston,48,28,14,6,62,24,131,109,22,16-5-3,12-9-2003,4-3,3-5-2002,L1
St Louis,48,29,17,2,60,24,129,115,14,15-8-1,14-9-1,5-1,7-3-2000,W3
Los Angeles,48,27,16,5,59,25,133,118,15,19-4-1,8-12-2004,2-4,5-3-2002,W1
Vancouver,48,26,15,7,59,21,127,121,6,15-6-3,11-9-2004,5-6,5-4-2001,L2
Toronto,48,26,17,5,57,26,145,133,12,13-9-2,13-8-3,0-5,5-4-2001,L1
Washington,48,27,18,3,57,24,149,130,19,15-8-1,12-10-2002,3-0,8-1-2001,W1
San Jose,48,25,16,7,57,17,124,116,8,17-2-5,8-14-2002,8-4,5-5-2000,L2
NY Rangers,48,26,18,4,56,22,130,112,18,16-6-2,10-12-2002,4-4,7-3-2000,W2
Detroit,48,24,16,8,56,22,124,115,9,13-7-4,11-9-2004,2-5,5-2-2003,W4
Ottawa,48,25,17,6,56,21,116,104,12,15-6-3,10-11-2003,4-4,6-4-2000,W1
Minnesota,48,26,19,3,55,22,122,127,-5,14-8-2,12-11-2001,4-2,4-5-2001,W1
NY Islanders,48,24,17,7,55,20,139,139,0,10-11-2003,14-6-4,4-3,6-1-2003,OT1
Columbus,48,24,17,7,55,19,120,119,1,14-5-5,10-12-2002,5-4,8-2-2000,W3
Winnipeg,48,24,21,3,51,22,128,144,-16,13-10-1,11-11-2002,2-3,6-3-2001,L2
Phoenix,48,21,18,9,51,17,125,131,-6,14-8-2,7-10-2007,4-6,4-3-2003,W1
Philadelphia,48,23,22,3,49,22,133,141,-8,15-7-2,8-15-2001,1-2,6-4-2000,W4
Dallas,48,22,22,4,48,20,130,142,-12,11-11-2002,11-11-2002,2-1,4-5-2001,L3
New Jersey,48,19,19,10,48,17,112,129,-17,13-9-2,6-10-2008,2-7,4-5-2001,L1
Buffalo,48,21,21,6,48,14,125,143,-18,11-10-2003,10-11-2003,7-4,6-4-2000,W2
Edmonton,48,19,22,7,45,17,125,134,-9,9-11-2004,10-11-2003,2-3,3-7-2000,W2
Calgary,48,19,25,4,42,19,128,160,-32,13-9-2,6-16-2002,0-3,5-5-2000,L3
Carolina,48,19,25,4,42,18,128,160,-32,9-14-2001,10-11-2003,1-1,3-5-2002,L1
Nashville,48,16,23,9,41,14,111,139,-28,11-9-2004,5-14-2005,2-6,1-8-2001,L2
Tampa Bay,48,18,26,4,40,17,148,150,-2,12-10-2002,6-16-2002,1-3,2-6-2002,L2
Colorado,48,16,25,7,39,14,116,152,-36,12-9-2003,4-16-2004,2-2,4-4-2002,L1
Florida,48,15,27,6,36,12,112,171,-59,8-11-2005,7-16-2001,3-1,3-7-2000,W1
