GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK,
Nashville,82,53,18,11,117,47,267,211,56,28-9-4,25-9-7,6-7,5-4-2001,W2
Winnipeg,82,52,20,10,114,48,277,218,59,32-7-2,20-13-8,4-2,9-1-2000,W5
Tampa Bay,82,54,23,5,113,48,296,236,60,29-10-2,25-13-3,6-2,5-4-2001,OT1
Boston,82,50,20,12,112,47,270,214,56,28-8-5,22-12-7,3-3,5-3-2002,L1
Vegas,82,51,24,7,109,47,272,228,44,29-10-2,22-14-5,4-3,5-3-2002,L2
Washington,82,49,26,7,105,46,259,239,20,28-11-2,21-15-5,3-1,8-2-2000,W1
Toronto,82,49,26,7,105,42,277,232,45,29-10-2,20-16-5,7-2,6-4-2000,W1
Minnesota,82,45,26,11,101,42,253,232,21,27-6-8,18-20-3,3-3,4-2-2004,W1
Anaheim,82,44,25,13,101,40,235,216,19,26-10-5,18-15-8,4-7,8-1-2001,W5
Pittsburgh,82,47,29,6,100,45,272,250,22,30-9-2,17-20-4,2-2,6-3-2001,W2
San Jose,82,45,27,10,100,40,252,229,23,25-13-3,20-14-7,5-3,5-4-2001,L1
Los Angeles,82,45,29,8,98,43,239,203,36,23-15-3,22-14-5,2-1,6-2-2002,L1
Philadelphia,82,42,26,14,98,40,251,243,8,22-13-6,20-13-8,2-7,6-1-2003,W2
Columbus,82,45,30,7,97,39,242,230,12,26-12-3,19-18-4,6-4,6-2-2002,L1
New Jersey,82,44,29,9,97,39,248,244,4,23-14-4,21-15-5,5-4,7-2-2001,L1
Florida,82,44,30,8,96,41,248,246,2,27-11-3,17-19-5,3-3,7-2-2001,W5
Colorado,82,43,30,9,95,41,257,237,20,28-11-2,15-19-7,2-1,4-5-2001,W1
 St Louis,82,44,32,6,94,41,226,222,4,24-17-0,20-15-6,3-0,5-4-2001,L1
 Dallas,82,42,32,8,92,38,235,225,10,26-12-3,16-20-5,4-3,4-6-2000,W1
 Calgary,82,37,35,10,84,35,218,248,-30,17-20-4,20-15-6,2-5,2-8-2000,W1
Carolina,82,36,35,11,83,33,228,256,-28,19-16-6,17-19-5,3-3,5-5-2000,W1
NY Islanders,82,35,37,10,80,32,264,296,-32,19-18-4,16-19-6,3-3,5-5-2000,W3
Edmonton,82,36,40,6,78,31,234,263,-29,19-18-4,17-22-2,5-1,5-4-2001,W2
  NY Rangers,82,34,39,9,77,31,231,268,-37,21-16-4,13-23-5,3-5,2-7-2001,L3
Chicago,82,33,39,10,76,32,229,256,-27,18-18-5,15-21-5,1-2,3-5-2002,L2
Vancouver,82,31,40,11,73,31,218,264,-46,16-18-7,15-22-4,0-5,6-2-2002,OT1
Detroit,82,30,39,13,73,25,217,255,-38,16-16-9,14-23-4,5-1,4-4-2002,OT1
Montréal,82,29,40,13,71,27,209,264,-55,18-14-9,11-26-2004,2-6,3-6-2001,L1
Arizona,82,29,41,12,70,27,208,256,-48,16-21-4,13-20-8,2-5,5-4-2001,L1
Ottawa,82,28,43,11,67,26,221,291,-70,16-19-6,12-24-2005,2-7,2-8-2000,L2
Buffalo,82,25,45,12,62,24,199,280,-81,11-25-2005,14-20-7,1-2,2-8-2000,L4
