GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK,
Tampa Bay,82,62,16,4,128,56,325,222,103,32-7-2,30-9-2,6-1,7-3-2000,W2
Calgary,82,50,25,7,107,50,289,227,62,26-10-5,24-15-2,0-4,6-4-2000,L2
Boston,82,49,24,9,107,47,259,215,44,29-9-3,20-15-6,2-3,6-4-2000,L1
Washington,82,48,26,8,104,44,278,249,29,24-11-6,24-15-2,4-1,6-3-2001,L1
NY Islanders,82,48,27,7,103,43,228,196,32,24-13-4,24-14-3,5-5,6-4-2000,W2
San Jose,82,46,27,9,101,46,289,261,28,25-11-5,21-16-4,0-3,3-6-2001,W2
Toronto,82,46,28,8,100,46,286,251,35,23-16-2,23-12-6,0-2,3-4-2003,OT1
Nashville,82,47,29,6,100,43,240,214,26,25-14-2,22-15-4,4-2,7-2-2001,W3
Pittsburgh,82,44,26,12,100,42,273,241,32,23-14-4,21-12-8,2-3,5-2-2003,OT1
Winnipeg,82,47,30,5,99,45,272,244,28,25-12-4,22-18-1,2-1,4-5-2001,W1
Carolina,82,46,29,7,99,44,245,223,22,24-13-4,22-16-3,2-2,6-4-2000,W3
St Louis,82,45,28,9,99,42,247,223,24,24-15-2,21-13-7,3-3,8-1-2001,W2
Columbus,82,47,31,4,98,45,258,232,26,22-17-2,25-14-2,2-1,7-3-2000,W2
Montréal,82,44,30,8,96,41,249,236,13,25-12-4,19-18-4,3-0,7-2-2001,W1
Dallas,82,43,32,7,93,42,210,202,8,24-14-3,19-18-4,1-2,6-3-2001,W1
Vegas,82,43,32,7,93,40,249,230,19,24-12-5,19-20-2,3-2,3-5-2002,L2
Colorado,82,38,30,14,90,36,260,246,14,21-14-6,17-16-8,2-2,7-1-2002,L1
Arizona,82,39,35,8,86,35,213,223,-10,20-17-4,19-18-4,4-3,3-5-2002,L1
  Florida,82,36,32,14,86,33,267,280,-13,20-13-8,16-19-6,3-7,4-4-2002,OT2
Chicago,82,36,34,12,84,33,270,292,-22,19-14-8,17-20-4,3-1,4-4-2002,L1
Minnesota,82,37,36,9,83,36,211,237,-26,16-18-7,21-18-2,1-4,3-6-2001,L2
Philadelphia,82,37,37,8,82,34,244,281,-37,19-18-4,18-19-4,3-1,2-8-2000,L5
Vancouver,82,35,36,11,81,29,225,254,-29,20-16-5,15-20-6,6-6,5-4-2001,OT1
Anaheim,82,35,37,10,80,32,199,251,-52,19-14-8,16-23-2,3-3,7-2-2001,W3
Edmonton,82,35,38,9,79,32,232,274,-42,18-19-4,17-19-5,3-3,3-5-2002,W1
NY Rangers,82,32,36,14,78,26,227,272,-45,18-14-9,14-22-5,6-5,4-5-2001,W1
 Buffalo,82,33,39,10,76,28,226,271,-45,21-15-5,12-24-2005,5-3,2-7-2001,W2
Detroit,82,32,40,10,74,29,227,277,-50,17-19-5,15-21-5,3-5,7-3-2000,L2
New Jersey,82,31,41,10,72,28,222,275,-53,20-14-7,11-27-2003,3-4,4-5-2001,W1
Los Angeles,82,31,42,9,71,28,202,263,-61,17-21-3,14-21-6,3-4,6-3-2001,W1
Ottawa,82,29,47,6,64,29,242,302,-60,18-19-4,11-28-2002,0-1,4-6-2000,L2
