TEAM,GP,W,L,OT,PTS,P%,RW,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
 Boston,70,44,14,12,100,0.714,38,44,227,174,53,22-4-9,22-10-3,0-7,7-3-2000,W1
St Louis,71,42,19,10,94,0.662,33,40,225,193,32,23-7-5,19-12-5,2-3,8-2-2000,W1
Colorado,70,42,20,8,92,0.657,37,41,237,191,46,18-9-6,24-11-2,1-1,7-2-2001,W1
Tampa Bay,70,43,21,6,92,0.657,35,41,245,195,50,22-10-2,21-11-4,2-1,3-6-2001,L1
Washington,69,41,20,8,90,0.652,31,37,240,215,25,18-10-5,23-10-3,4-3,4-3-2003,OT1
Philadelphia,69,41,21,7,89,0.645,31,36,232,196,36,25-6-4,16-15-3,5-5,9-1-2000,L1
 Pittsburgh,69,40,23,6,86,0.623,29,37,224,196,28,23-8-4,17-15-2,3-0,3-7-2000,W1
 Vegas,71,39,24,8,86,0.606,30,36,227,211,16,22-11-4,17-13-4,3-2,8-2-2000,W2
  Carolina,68,38,25,5,81,0.596,27,33,222,193,29,19-12-2,19-13-3,5-0,5-4-2001,W3
 Dallas,69,37,24,8,82,0.594,26,35,180,177,3,19-12-3,18-12-5,2-3,3-5-2002,L3
  NY Islanders,68,35,23,10,80,0.588,24,32,192,193,-1,20-9-6,15-14-4,3-3,2-4-2004,OT2
Edmonton,71,37,25,9,83,0.585,31,35,225,217,8,17-11-6,20-14-3,2-2,5-3-2002,L1
  Toronto,70,36,25,9,81,0.579,28,35,238,227,11,18-9-7,18-16-2,1-5,5-4-2001,W1
Columbus,70,33,22,15,81,0.579,25,33,180,187,-7,20-12-4,13-10-11,0-4,3-4-2003,W1
  Florida,69,35,26,8,78,0.565,30,32,231,228,3,17-14-4,18-12-4,3-4,4-4-2002,W2
Nashville,69,35,26,8,78,0.565,28,32,215,217,-2,17-14-4,18-12-4,3-3,6-3-2001,W3
Vancouver,69,36,27,6,78,0.565,27,32,228,217,11,22-9-4,14-18-2,4-3,4-5-2001,W1
  NY Rangers,70,37,28,5,79,0.564,31,36,234,222,12,18-16-2,19-12-3,1-2,5-4-2001,OT1
  Calgary,70,36,27,7,79,0.564,25,30,210,215,-5,16-13-4,20-14-3,6-1,6-3-2001,L1
Winnipeg,71,37,28,6,80,0.563,30,34,216,203,13,20-14-3,17-14-3,3-2,6-3-2001,W4
Minnesota,69,35,27,7,77,0.558,30,33,220,220,0,19-11-5,16-16-2,2-3,7-3-2000,W1
 Arizona,70,33,29,8,74,0.529,26,28,195,187,8,17-12-4,16-17-4,5-4,5-5-2000,L2
Chicago,70,32,30,8,72,0.514,23,28,212,218,-6,16-14-4,16-16-4,4-4,6-4-2000,W1
 Montréal,71,31,31,9,71,0.5,19,27,212,221,-9,14-17-6,17-14-3,4-1,4-5-2001,L3
  Buffalo,69,30,31,8,68,0.493,22,28,195,217,-22,20-11-4,10-20-2004,2-2,3-7-2000,W1
  New Jersey,69,28,29,12,68,0.493,22,24,189,230,-41,13-11-10,15-18-2,4-6,6-2-2002,L1
Anaheim,71,29,33,9,67,0.472,20,24,187,226,-39,16-15-5,13-18-4,5-1,5-3-2002,L1
 Los Angeles,70,29,35,6,64,0.457,21,28,178,212,-34,19-13-2,10-22-2004,1-3,8-1-2001,W7
 San Jose,70,29,36,5,63,0.45,22,27,182,226,-44,17-17-2,12-19-2003,2-1,3-6-2001,L2
  Ottawa,71,25,34,12,62,0.437,18,24,191,243,-52,18-13-6,7-21-2006,1-5,4-5-2001,L2
 Detroit,71,17,49,5,39,0.275,13,14,145,267,-122,12-23-2002,5-26-2003,3-2,3-6-2001,L1
