TEAM,GP,W,L,OT,PTS,P%,RW,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Colorado,56,39,13,4,82,0.732,35,39,197,133,64,22-4-2,17-9-2,0-1,8-2-2000,W5
Vegas,56,40,14,2,82,0.732,30,39,191,124,67,21-5-2,19-9-0,1-2,7-3-2000,W1
Carolina,56,36,12,8,80,0.714,27,32,179,136,43,20-3-5,16-9-3,4-2,5-2-2003,L2
Florida,56,37,14,5,79,0.705,26,36,189,153,36,20-5-3,17-9-2,1-2,8-2-2000,W6
Pittsburgh,56,37,16,3,77,0.688,29,34,196,156,40,22-4-2,15-12-1,3-1,8-2-2000,W3
Toronto,56,35,14,7,77,0.688,29,34,187,148,39,18-7-3,17-7-4,1-0,7-1-2002,L1
Washington,56,36,15,5,77,0.688,29,33,191,163,28,17-8-3,19-7-2,3-2,7-2-2001,W2
Tampa Bay,56,36,17,3,75,0.67,29,35,181,147,34,21-7-0,15-10-3,1-2,6-3-2001,L3
Minnesota,56,35,16,5,75,0.67,27,34,181,160,21,21-5-2,14-11-3,1-1,5-3-2002,L2
Boston,56,33,16,7,73,0.652,25,29,168,136,32,18-7-3,15-9-4,4-2,6-3-2001,L1
Edmonton,56,35,19,2,72,0.643,31,35,183,154,29,16-12-0,19-7-2,0-0,7-3-2000,L1
NY Islanders,56,32,17,7,71,0.634,24,28,156,128,28,21-4-3,11-13-2004,4-3,3-4-2003,OT1
Nashville,56,31,23,2,64,0.571,21,26,156,154,2,18-10-0,13-13-2,5-0,7-2-2001,W2
Winnipeg,56,30,23,3,63,0.563,24,30,170,154,16,13-13-2,17-10-1,0-2,3-7-2000,W2
St Louis,56,27,20,9,63,0.563,19,25,169,170,-1,12-11-2005,15-9-4,2-3,6-1-2003,W3
NY Rangers,56,27,23,6,60,0.536,24,26,177,157,20,14-11-3,13-12-3,1-2,4-6-2000,W1
  Dallas,56,23,19,14,60,0.536,17,21,158,154,4,13-7-8,10-12-2006,2-6,4-4-2002,W1
Montréal,56,24,21,11,59,0.527,20,23,159,168,-9,13-11-4,11-10-2007,1-3,4-4-2002,OT2
Philadelphia,56,25,23,8,58,0.518,17,22,163,201,-38,12-12-2004,13-11-4,3-4,4-5-2001,W1
  Calgary,56,26,27,3,55,0.491,22,25,156,161,-5,15-12-1,11-15-2002,1-1,6-4-2000,W1
  Chicago,56,24,25,7,55,0.491,15,22,161,186,-25,13-11-4,11-14-2003,2-2,3-5-2002,OT1
 Arizona,56,24,26,6,54,0.482,19,21,153,176,-23,12-12-2004,12-14-2002,3-2,4-5-2001,W2
 Ottawa,56,23,28,5,51,0.455,18,21,157,190,-33,14-10-4,9-18-2001,2-1,7-2-2001,W1
  Vancouver,56,23,29,4,50,0.446,17,20,151,188,-37,13-12-3,10-17-2001,3-1,4-5-2001,L1
 Los Angeles,56,21,28,7,49,0.438,19,20,143,170,-27,9-14-2005,12-14-2002,1-1,3-6-2001,L2
 San Jose,56,21,28,7,49,0.438,15,16,151,199,-48,11-13-2004,10-15-2003,5-3,3-5-2002,L1
 Detroit,56,19,27,10,48,0.429,16,17,127,171,-44,12-11-2005,7-16-2005,2-3,3-3-2004,OT1
Columbus,56,18,26,12,48,0.429,12,15,137,187,-50,11-9-2008,7-17-2004,3-3,3-4-2003,W1
 New Jersey,56,19,30,7,45,0.402,15,19,145,194,-49,7-18-2003,12-12-2004,0-5,5-4-2001,L2
Anaheim,56,17,30,9,43,0.384,11,15,126,179,-53,6-18-2004,11-12-2005,2-2,3-5-2002,OT2
  Buffalo,56,15,34,7,37,0.33,11,11,138,199,-61,8-16-2004,7-18-2003,4-3,3-7-2000,L2
